Адресс,Площадь,Цена,Цена за метр,Метро,Время до метро,Этаж,Всего этажей,Окончание стройки,Url,Комнаты,Дата,Общая информация характеристики,Общая информация параметры
Москва СВАО р-н Марьина роща ул. 4-я Марьиной рощи 12К1,83.84,29536832,352300,Марьина роща,8 мин. пешком,3,55,4 кв. 2024,https://www.cian.ru/sale/flat/263173872/,3,31 авг 2021,Тип жилья$Планировка$Высота потолков$Вид из окон$Отделка,Новостройка$Смежно-изолированная$3 м$На улицу и двор$Чистовая
Москва ЦАО р-н Пресненский Онест жилой комплекс,104.5,77016500,737000,Улица 1905 года,12 мин. пешком,2,23,2 кв. 2025,https://www.cian.ru/sale/flat/279140100/,3,,Тип жилья$Планировка$Высота потолков$Отделка,"Новостройка$Изолированная$3,4 м$Черновая"
Москва САО р-н Беговой ул. 3-я Ямского Поля 9,208.0,116000000,557692,Белорусская,6 мин. пешком,3,6,сдан,https://www.cian.ru/sale/flat/272409551/,3,14 апр 2022,Тип жилья$Планировка$Санузел$Балкон/лоджия$Ремонт$Вид из окон,Вторичка Апартаменты$Изолированная$2 совмещенных$1 балкон$Дизайнерский$Во двор
Москва СЗАО р-н Покровское-Стрешнево Летная ул. 95Бк2,90.9,37402987,411474,Тушинская,5 мин. на транспорте,10,24,1 кв. 2022,https://www.cian.ru/sale/flat/275275790/,3,28 июн 2022,Тип жилья$Планировка$Высота потолков$Отделка,"Новостройка$Смежно-изолированная$3,17 м$Черновая"
Москва ЦАО р-н Пресненский Малая Бронная ул. 15Б,189.2,520000000,2748414,Пушкинская,5 мин. пешком,4,7,сдан,https://www.cian.ru/sale/flat/277334909/,3,,Тип жилья$Планировка$Высота потолков$Санузел$Балкон/лоджия$Ремонт$Вид из окон,"Вторичка$Изолированная$3,2 м$3 раздельных$3 балкона$Дизайнерский$На улицу и двор"
Москва ЗАО р-н Раменки 1-й Сетуньский проезд вл10,101.0,64939510,642965,Лужники,3 мин. на транспорте,31,41,4 кв. 2023,https://www.cian.ru/sale/flat/268828592/,3,11 янв 2022,Тип жилья$Планировка$Высота потолков$Вид из окон$Отделка,"Новостройка$Смежно-изолированная$3,25 м$На улицу и двор$Чистовая"
Москва САО р-н Аэропорт Ленинградский просп. 36с31,146.0,115000000,787671,Динамо,5 мин. пешком,6,10,сдан,https://www.cian.ru/sale/flat/241555365/,3,23 сен 2020,Тип жилья$Санузел$Ремонт$Вид из окон,Вторичка Апартаменты$3 совмещенных$Дизайнерский$Во двор
Москва ЦАО р-н Тверской Ильинка 3/8 жилой комплекс,111.51,262739862,2356200,Площадь Революции,2 мин. пешком,3,5,3 кв. 2024,https://www.cian.ru/sale/flat/277588387/,3,,Тип жилья$Высота потолков$Вид из окон$Отделка,"Новостройка Апартаменты$3,6 м$Во двор$Черновая"
Москва ЦАО р-н Пресненский Малая Бронная ул. 4,120.0,74500000,620833,Тверская,10 мин. пешком,2,5,сдан,https://www.cian.ru/sale/flat/278855340/,3,4 окт 2022,Тип жилья$Планировка$Высота потолков$Санузел$Ремонт$Вид из окон,"Вторичка$Изолированная$3,5 м$2 совмещенных$Дизайнерский$На улицу и двор"
Москва ЮАО р-н Даниловский Подольское ш. 3,102.8,47580370,462844,Тульская,8 мин. пешком,8,13,3 кв. 2024,https://www.cian.ru/sale/flat/271240211/,3,16 мар 2022,Тип жилья$Высота потолков$Отделка,Новостройка Апартаменты$3 м$Черновая
Москва ЦАО р-н Пресненский Малая Бронная ул. 4,114.2,75000000,656743,Пушкинская,,2,5,сдан,https://www.cian.ru/sale/flat/277764249/,3,,Тип жилья$Высота потолков$Санузел$Ремонт$Вид из окон,"Вторичка$3,5 м$1 совмещенный, 1 раздельный$Дизайнерский$На улицу и двор"
Москва ЗАО р-н Дорогомилово Ривер Парк Кутузовский жилой комплекс,88.1,39733100,451000,Фили,6 мин. пешком,2,45,сдан,https://www.cian.ru/sale/flat/274260491/,3,2 июн 2022,Тип жилья$Высота потолков$Отделка,"Новостройка$3,115 м$Нет"
Москва ВАО р-н Сокольники проезд Попов 1к2,103.9,46962800,452000,Электрозаводская,10 мин. пешком,11,21,сдан,https://www.cian.ru/sale/flat/279320788/,3,,Тип жилья$Планировка$Высота потолков$Санузел$Балкон/лоджия$Ремонт$Вид из окон,"Вторичка$Изолированная$3 м$1 совмещенный, 1 раздельный$2 лоджии$Евроремонт$На улицу"
Москва ЗАО р-н Раменки Мосфильмовская ул. 88к2с4,80.0,37000000,462500,Раменки,10 мин. пешком,4,21,сдан,https://www.cian.ru/sale/flat/278969261/,3,,Тип жилья$Планировка$Площадь комнат+ обозначение смежных комнат- обозначение изолированных комнат$Санузел$Ремонт$Вид из окон,Вторичка$Изолированная$20+20+16 м²$2 совмещенных$Дизайнерский$Во двор
Москва ЗАО р-н Раменки ул. Улофа Пальме 1с7,87.3,33200000,380298,Минская,19 мин. пешком,11,19,сдан,https://www.cian.ru/sale/flat/279051711/,3,,Тип жилья$Планировка$Санузел$Балкон/лоджия$Ремонт$Вид из окон,"Вторичка$Изолированная$1 совмещенный$1 балкон, 1 лоджия$Косметический$Во двор"
Москва САО р-н Левобережный Ленинградское ш. 69к2,95.78,45150000,471393,Беломорская,5 мин. на транспорте,20,20,сдан,https://www.cian.ru/sale/flat/253129959/,3,16 мар 2021,Тип жилья$Высота потолков$Санузел$Отделка,"Новостройка$3,3 м$2 совмещенных$Чистовая"
Москва САО р-н Сокол ул. Врубеля 4,110.04,64538460,586500,Панфиловская,12 мин. пешком,10,12,4 кв. 2022,https://www.cian.ru/sale/flat/278102011/,3,9 сен 2022,Тип жилья$Планировка$Высота потолков$Отделка,"Новостройка$Изолированная$4,1 м$Черновая"
Москва ЗАО р-н Дорогомилово наб. Тараса Шевченко 1,117.7,55000000,467290,Киевская,4 мин. пешком,7,8,сдан,https://www.cian.ru/sale/flat/279467206/,3,,Тип жилья$Планировка$Высота потолков$Санузел$Балкон/лоджия$Ремонт$Вид из окон,"Вторичка$Изолированная$3,2 м$1 совмещенный$3 лоджии$Дизайнерский$На улицу"
Москва ЗАО р-н Раменки ул. Лобачевского 120к3,105.9,60000000,566572,,,20,25,сдан,https://www.cian.ru/sale/flat/278008866/,3,,Тип жилья$Санузел$Балкон/лоджия$Ремонт$Вид из окон,Вторичка$3 раздельных$2 балкона$Без ремонта$На улицу
Москва ЮАО р-н Даниловский Дубининская ул. 59к5,82.5,40755000,494000,Серпуховская,16 мин. пешком,6,9,4 кв. 2022,https://www.cian.ru/sale/flat/274970016/,3,21 июн 2022,Тип жилья$Планировка$Высота потолков$Вид из окон$Отделка,Новостройка$Смежно-изолированная$3 м$На улицу и двор$Чистовая
Москва ЗАО р-н Дорогомилово Виктори Парк Резиденсез жилой комплекс 3к7,99.52,95358550,958185,Парк Победы,13 мин. пешком,9,10,4 кв. 2023,https://www.cian.ru/sale/flat/274568612/,3,10 июн 2022,Тип жилья$Санузел$Вид из окон$Отделка,Новостройка$2 раздельных$Во двор$Чистовая
Москва ЗАО р-н Филевский парк Фили Сити жилой комплекс,92.15,46135678,500658,Фили,5 мин. пешком,29,57,4 кв. 2023,https://www.cian.ru/sale/flat/272591285/,3,19 апр 2022,Тип жилья$Планировка$Высота потолков$Вид из окон$Отделка,"Новостройка$Смежно-изолированная$2,9 м$На улицу и двор$Чистовая"
Москва ЦАО р-н Пресненский 1-й Красногвардейский проезд 21с2,295.6,223084943,754685,Выставочная,1 мин. пешком,81,85,4 кв. 2015,https://www.cian.ru/sale/flat/275141228/,3,24 июн 2022,Тип жилья$Отделка,Новостройка Апартаменты$Чистовая
Москва ЮАО р-н Даниловский Хай Лайф жилой комплекс,108.7,50463322,464244,Павелецкая,8 мин. пешком,6,32,сдан,https://www.cian.ru/sale/flat/276603513/,3,,Тип жилья$Планировка$Высота потолков$Отделка,"Новостройка$Изолированная$3,1 м$Нет"
Москва ЗАО р-н Филевский парк Багратионовский проезд 5Ак1,97.2,39949200,411000,Фили,6 мин. пешком,8,41,2 кв. 2021,https://www.cian.ru/sale/flat/254287055/,3,1 апр 2021,Тип жилья$Планировка$Высота потолков$Санузел$Вид из окон$Отделка,"Новостройка$Смежно-изолированная$3,5 м$2 совмещенных$На улицу и двор$Черновая"
Москва СВАО р-н Марьина роща Складочная ул. 6к4,75.7,24800000,327609,Савеловская,19 мин. пешком,3,14,сдан,https://www.cian.ru/sale/flat/277916287/,3,,Тип жилья$Площадь комнат+ обозначение смежных комнат- обозначение изолированных комнат$Высота потолков$Санузел$Ремонт$Вид из окон,"Вторичка$18.6+11.4+21.4 м²$2,7 м$1 совмещенный, 1 раздельный$Евроремонт$На улицу и двор"
Москва ЗАО р-н Филевский парк Фили Сити жилой комплекс,97.48,54637540,560500,Фили,8 мин. пешком,3,11,4 кв. 2023,https://www.cian.ru/sale/flat/260683796/,3,16 июл 2021,Тип жилья$Планировка$Высота потолков$Вид из окон$Отделка,Новостройка$Смежно-изолированная$3 м$На улицу и двор$Чистовая
Москва СЗАО р-н Хорошево-Мневники Жилой комплекс остров 4-й квартал,80.62,32739720,406099,Терехово ,13 мин. пешком,2,13,4 кв. 2024,https://www.cian.ru/sale/flat/278785163/,3,,Тип жилья$Планировка$Площадь комнат+ обозначение смежных комнат- обозначение изолированных комнат$Высота потолков$Санузел$Вид из окон,"Новостройка$Изолированная$17.9-16.3 м²$3,25 м$2 совмещенных$Во двор"
