Адресс,Площадь,Цена,Цена за метр,Метро,Время до метро,Этаж,Всего этажей,Окончание стройки,Url,Комнаты,Дата,Общая информация характеристики,Общая информация параметры
Москва СВАО р-н Марьина роща ул. 4-я Марьиной рощи 12К1,67.93,40588175,597500,Марьина роща,8 мин. пешком,52,55,4 кв. 2024,https://www.cian.ru/sale/flat/265663079/,2,20 окт 2021,Тип жилья$Планировка$Высота потолков$Вид из окон$Отделка,"Новостройка$Смежно-изолированная$4,8 м$На улицу и двор$Чистовая"
Москва ЦАО р-н Пресненский Онест жилой комплекс,53.1,39124080,736800,Улица 1905 года,12 мин. пешком,2,23,2 кв. 2025,https://www.cian.ru/sale/flat/279140097/,2,,Тип жилья$Планировка$Высота потолков$Отделка,"Новостройка$Изолированная$3,4 м$Черновая"
Москва СЗАО р-н Покровское-Стрешнево Летная ул. 95Бк2,72.6,31654689,436015,Спартак,5 мин. пешком,23,26,1 кв. 2022,https://www.cian.ru/sale/flat/275275854/,2,28 июн 2022,Тип жилья$Планировка$Высота потолков$Отделка,"Новостройка$Смежно-изолированная$3,02 м$Черновая"
Москва ЗАО р-н Дорогомилово Кутузовский просп. 31,62.0,36500000,588710,Студенческая,7 мин. пешком,7,8,сдан,https://www.cian.ru/sale/flat/279464446/,2,25 окт 2022,Тип жилья$Планировка$Площадь комнат+ обозначение смежных комнат- обозначение изолированных комнат$Высота потолков$Санузел$Балкон/лоджия$Ремонт,"Вторичка$Изолированная$20,5+16,5 м²$3 м$1 совмещенный$1 балкон$Дизайнерский"
Москва ЮАО р-н Бирюлево Восточное Михневская ул. 8,80.2,15466570,192850,Царицыно,15 мин. на транспорте,8,45,сдан,https://www.cian.ru/sale/flat/279415114/,2,,Тип жилья$Планировка$Площадь комнат+ обозначение смежных комнат- обозначение изолированных комнат$Санузел$Балкон/лоджия$Ремонт$Вид из окон,Вторичка$Изолированная$28.15-14.85 м²$1 раздельный$1 лоджия$Без ремонта$На улицу и двор
Москва ЗАО р-н Раменки 1-й Сетуньский проезд вл10,60.3,35486097,588492,Лужники,3 мин. на транспорте,6,41,4 кв. 2023,https://www.cian.ru/sale/flat/271758064/,2,29 мар 2022,Тип жилья$Планировка$Высота потолков$Вид из окон$Отделка,"Новостройка$Смежно-изолированная$3,25 м$На улицу и двор$Чистовая"
Москва ЦАО р-н Хамовники ул. Тимура Фрунзе 20,53.3,34900000,654784,Парк Культуры,5 мин. пешком,5,5,сдан,https://www.cian.ru/sale/flat/278604511/,2,,Тип жилья$Планировка$Высота потолков$Ремонт$Вид из окон,"Вторичка$Смежно-изолированная$3,1 м$Дизайнерский$Во двор"
Москва ЦАО р-н Тверской Ильинка 3/8 жилой комплекс,69.92,154572144,2210700,Площадь Революции,2 мин. пешком,2,5,3 кв. 2024,https://www.cian.ru/sale/flat/277627132/,2,29 авг 2022,Тип жилья$Высота потолков$Вид из окон$Отделка,"Новостройка Апартаменты$3,6 м$Во двор$Черновая"
Москва САО р-н Беговой ул. 3-я Ямского Поля 9,150.0,78500000,523333,Белорусская,6 мин. пешком,6,6,сдан,https://www.cian.ru/sale/flat/272086934/,2,6 апр 2022,Тип жилья$Санузел$Балкон/лоджия$Ремонт$Вид из окон,Вторичка Апартаменты$2 совмещенных$1 лоджия$Дизайнерский$На улицу
Москва ЮАО р-н Даниловский Подольское ш. 3,62.5,27804709,444875,Тульская,8 мин. пешком,2,13,3 кв. 2024,https://www.cian.ru/sale/flat/271874675/,2,,Тип жилья$Высота потолков$Отделка,Новостройка Апартаменты$3 м$Черновая
