Адресс,Площадь,Цена,Цена за метр,Метро,Время до метро,Этаж,Всего этажей,Окончание стройки,Url,Комнаты,Дата,Общая информация характеристики,Общая информация параметры
Москва ЦАО р-н Таганский Стройковская ул. 17/1,44.3,12700000,286682,Пролетарская,7 мин. пешком,5,5,сдан,https://www.cian.ru/sale/flat/266425195/,2,7 ноя 2021,Тип жилья$Планировка$Площадь комнат+ обозначение смежных комнат- обозначение изолированных комнат$Высота потолков$Санузел$Балкон/лоджия$Ремонт$Вид из окон,"Вторичка$Смежная$17,4+12,7 м²$2,58 м$1 совмещенный$1 балкон$Косметический$Во двор"
Москва ЗАО р-н Дорогомилово Ривер Парк Кутузовский жилой комплекс,63.8,29281329,458955,Фили,6 мин. пешком,2,45,сдан,https://www.cian.ru/sale/flat/274260505/,2,2 июн 2022,Тип жилья$Высота потолков$Отделка,"Новостройка$3,115 м$Нет"
Москва ВАО р-н Сокольники проезд Попов 1к2,59.9,25158000,420000,Электрозаводская,10 мин. пешком,2,21,сдан,https://www.cian.ru/sale/flat/279250337/,2,18 окт 2022,Тип жилья$Планировка$Санузел$Ремонт$Вид из окон,Вторичка$Изолированная$1 раздельный$Евроремонт$Во двор
Москва САО р-н Левобережный Ленинградское ш. 69к2,63.7,27650000,434066,Беломорская,20 мин. пешком,15,20,сдан,https://www.cian.ru/sale/flat/264376451/,2,22 сен 2021,Тип жилья$Высота потолков$Отделка,"Новостройка$3,3 м$Чистовая"
Москва ВАО р-н Сокольники ул. Гастелло 41,65.0,21900000,336923,Электрозаводская,8 мин. пешком,9,11,сдан,https://www.cian.ru/sale/flat/277114774/,2,14 авг 2022,Тип жилья$Планировка$Площадь комнат+ обозначение смежных комнат- обозначение изолированных комнат$Высота потолков$Санузел$Балкон/лоджия$Ремонт$Вид из окон,Вторичка$Изолированная$25-15 м²$3 м$1 раздельный$1 балкон$Косметический$На улицу
Москва ЦАО р-н Пресненский 1-й Красногвардейский проезд 22с1,67.5,41850000,620000,Деловой центр,3 мин. пешком,46,65,сдан,https://www.cian.ru/sale/flat/264152760/,2,17 сен 2021,Тип жилья$Ремонт,Вторичка Апартаменты$Без ремонта
Москва САО р-н Сокол ул. Врубеля 4,89.74,51609474,575100,Панфиловская,12 мин. пешком,3,12,4 кв. 2022,https://www.cian.ru/sale/flat/267352403/,2,29 ноя 2021,Тип жилья$Планировка$Высота потолков$Вид из окон$Отделка,"Новостройка$Изолированная$4,1 м$На улицу и двор$Черновая"
Москва ЦАО р-н Пресненский 1-й Красногвардейский проезд 22с2,62.3,49900000,800963,Деловой центр,5 мин. пешком,11,78,сдан,https://www.cian.ru/sale/flat/267572504/,2,3 дек 2021,Тип жилья$Ремонт,Вторичка Апартаменты$Дизайнерский
Москва ЮАО р-н Даниловский Дубининская ул. 57к5,60.0,29140800,485680,Павелецкая,15 мин. пешком,3,28,1 кв. 2023,https://www.cian.ru/sale/flat/274969710/,2,21 июн 2022,Тип жилья$Планировка$Высота потолков$Вид из окон$Отделка,Новостройка$Смежно-изолированная$3 м$На улицу и двор$Чистовая
Москва ЗАО р-н Раменки ул. Лобачевского 120к1,45.5,17200000,378022,Аминьевская,2 мин. пешком,14,33,сдан,https://www.cian.ru/sale/flat/278777729/,2,1 окт 2022,Тип жилья$Планировка$Высота потолков$Ремонт$Вид из окон,Вторичка$Смежно-изолированная$3 м$Без ремонта$На улицу и двор
Москва ЗАО р-н Дорогомилово Виктори Парк Резиденсез жилой комплекс 3к7,64.75,75040968,1158934,Парк Победы,13 мин. пешком,6,10,4 кв. 2023,https://www.cian.ru/sale/flat/274568603/,2,10 июн 2022,Тип жилья$Санузел$Балкон/лоджия$Вид из окон$Отделка,Новостройка$2 раздельных$1 балкон$Во двор$Чистовая
Москва ЦАО р-н Пресненский 1-й Красногвардейский проезд 22с1,85.5,81054000,948000,Международная,4 мин. пешком,56,65,сдан,https://www.cian.ru/sale/flat/278520328/,2,,Тип жилья$Ремонт,Вторичка Апартаменты$Косметический
Москва ЦАО р-н Хамовники ул. Усачева 15А,86.61,76000000,877497,Фрунзенская,11 мин. пешком,5,14,сдан,https://www.cian.ru/sale/flat/272542284/,2,18 апр 2022,Тип жилья$Планировка$Санузел,Новостройка$Изолированная$2 совмещенных
Москва ЗАО р-н Филевский парк Фили Сити жилой комплекс,64.17,33154065,516660,Фили,5 мин. пешком,33,57,4 кв. 2023,https://www.cian.ru/sale/flat/272591228/,2,19 апр 2022,Тип жилья$Планировка$Высота потолков$Вид из окон$Отделка,"Новостройка$Смежно-изолированная$2,9 м$На улицу и двор$Чистовая"
Москва ЮАО р-н Даниловский Хай Лайф жилой комплекс,85.6,42756515,499492,Павелецкая,9 мин. пешком,4,32,сдан,https://www.cian.ru/sale/flat/276603473/,2,,Тип жилья$Планировка$Высота потолков$Отделка,"Новостройка$Изолированная$3,1 м$Черновая"
Москва ЗАО р-н Филевский парк Фили Сити жилой комплекс,76.41,42715100,559025,Фили,8 мин. пешком,4,11,4 кв. 2023,https://www.cian.ru/sale/flat/260683786/,2,16 июл 2021,Тип жилья$Планировка$Высота потолков$Вид из окон$Отделка,Новостройка$Смежно-изолированная$3 м$На улицу и двор$Чистовая
Москва ЦАО р-н Пресненский 1-й Красногвардейский проезд 21с2,157.4,107504149,683000,Выставочная,1 мин. пешком,59,85,4 кв. 2015,https://www.cian.ru/sale/flat/275141230/,2,24 июн 2022,Тип жилья$Отделка,Новостройка Апартаменты$Чистовая
Москва СВАО р-н Ростокино Сельскохозяйственная ул.,61.0,26735000,438279,Ботанический сад,9 мин. пешком,2,21,4 кв. 2024,https://www.cian.ru/sale/flat/275410574/,2,1 июл 2022,Тип жилья$Высота потолков$Балкон/лоджия$Вид из окон$Отделка,"Новостройка$3,02 м$1 балкон$Во двор$Нет"
